HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
197395,674,1,,,,
197396,675,1,,,,
197397,676,1,,,,
197398,677,1,,,,
197399,678,1,,,,
197400,679,1,,,,
197401,680,1,,,,
197402,682,1,,,,
197403,683,1,,,,
197404,684,1,,,,
197405,685,1,,,,
197406,686,1,,,,
197407,688,1,,,,
197408,689,1,,,,
197409,690,1,,,,
197410,691,1,,,,
197411,692,1,,,,
197412,693,1,,,,
197413,694,1,,,,
197414,695,1,,,,
197415,697,1,,,,
197416,698,1,,,,
197417,699,1,,,,
197418,700,1,,,,
197419,701,1,,,,
197420,702,1,,,,
197421,704,1,,,,
197422,705,1,,,,
197423,706,1,,,,
197424,707,1,,,,
197425,708,1,,,,
197426,709,1,,,,
197427,710,1,,,,
197428,711,1,,,,
197429,712,1,,,,
197430,713,1,,,,
197431,714,1,,,,
197432,715,1,,,,
197433,716,1,,,,
197434,717,1,,,,
197435,718,1,,,,
197436,719,1,,,,
197437,721,1,,,,
197438,722,1,,,,
197439,723,1,,,,
197440,724,1,,,,
197441,725,1,,,,
197442,726,1,,,,
197443,727,1,,,,
197444,728,1,,,,
197446,729,1,,,,
197447,730,1,,,,
197448,731,1,,,,
197449,732,1,,,,
197450,733,1,,,,
197451,734,1,,,,
197452,735,1,,,,
197453,736,1,,,,
197454,737,1,,,,
197455,738,1,,,,
197456,739,1,,,,
197457,740,1,,,,
197458,741,1,,,,
197459,742,1,,,,
197460,743,1,,,,
197461,744,1,,,,
197462,745,1,,,,
197463,747,1,,,,
197464,748,1,,,,
197465,749,1,,,,
197466,750,1,,,,
197467,751,1,,,,
197468,752,1,,,,
197469,753,1,,,,
197470,754,1,,,,
197471,755,1,,,,
197472,756,1,,,,
197473,757,1,,,,
197474,758,1,,,,
197475,759,1,,,,
197477,760,1,,,,
197478,762,1,,,,
197479,763,1,,,,
197480,764,1,,,,
197481,765,1,,,,
197482,766,1,,,,
197483,767,1,,,,
197484,768,1,,,,
197485,769,1,,,,
197486,770,1,,,,
197487,771,1,,,,
197488,772,1,,,,
197489,773,1,,,,
197490,774,1,,,,
197491,775,1,,,,
197492,777,1,,,,
197493,778,1,,,,
197494,779,1,,,,
197495,781,1,,,,
197496,782,1,,,,
197497,783,1,,,,
197498,784,1,,,,
197499,785,1,,,,
197501,786,1,,,,
197502,787,1,,,,
197503,788,1,,,,
197504,789,1,,,,
197510,790,1,"DI",,,
197513,791,1,,,,
197514,792,1,,,,
197525,793,1,,,,
197531,794,1,,,,
197532,795,1,,,,
197542,796,1,,,,
197544,798,1,"DI",,,
197552,799,1,"DI",,,
197554,800,1,"DI",,,
197609,812,1,,,,
197616,813,1,,,,
197632,814,1,,,,
197634,815,1,,,,
197639,816,1,,,,
197641,817,1,"DI",,,
197646,820,1,,,,
197649,821,1,,,,
197653,822,1,,,,
197657,823,1,,,,
197661,824,1,,,,
197663,825,1,,,,
197665,826,1,,,,
197670,827,1,,,,
197680,828,1,,,,
197682,829,1,"DI",,,
197684,830,1,,,,
197687,831,1,,,,
197692,832,1,,,,
197699,833,1,"DI",,,
197706,834,1,,,,
197749,845,1,,,,
197757,846,1,,,,
197764,847,1,,,,
197768,848,1,"DI",,,
197774,849,1,,,,
197776,850,1,,,,
197778,851,1,,,,
197779,852,1,,,,
197780,853,1,,,,
197781,854,1,,,,
197785,855,1,,,,
197793,856,1,,,,
197802,857,1,,,,
197809,858,1,,,,
197818,859,1,,,,
197819,860,1,,,,
197821,861,1,"DI",,,
197824,863,1,,,,
197835,864,1,"DI",,,
197840,866,1,,,,
197843,867,1,,,,
197857,868,1,"DI",,,
197867,869,1,,,,
197868,870,1,,,,
197870,871,1,,,,
197872,872,1,,,,
197873,873,1,,,,
197879,874,1,,,,
197881,875,1,,,,
197883,876,1,,,,
197885,877,1,,,,
197900,878,1,,,,
197902,879,1,,,,
197904,880,1,,,,
197909,881,1,,,,
197919,882,1,,,,
197927,883,1,,,,
197929,884,1,,,,
197941,885,1,,,,
197942,886,1,,,,
197944,887,1,,,,
197945,888,1,"DI",,,
197950,889,1,,,,
197951,890,1,,,,
197952,891,1,,,,
197956,892,1,,,,
197961,893,1,,,,
197963,895,1,,,,
197965,896,1,,,,
197968,897,1,,,,
197970,898,1,,,,
197972,899,1,,,,
197974,900,1,,,,
197975,901,1,,,,
197976,902,1,,,,
197996,903,1,,,,
197999,904,1,,,,
198000,905,1,,,,
198003,906,1,,,,
198006,908,1,,,,
198015,909,1,,,,
198022,910,1,,,,
198025,911,1,,,,
198026,912,1,,,,
198029,913,1,,,,
198033,914,1,,,,
198034,915,1,,,,
198077,930,1,,,,
198078,931,1,,,,
198081,932,1,,,,
198087,933,1,,,,
198088,934,1,,,,
198092,935,1,,,,
198093,936,1,,,,
198095,937,1,,,,
198097,938,1,,,,
198098,939,1,,,,
198102,941,1,,,,
198103,942,1,,,,
198104,943,1,,,,
198109,944,1,,,,
198121,945,1,,,,
198134,947,1,,,,
198142,948,1,,,,
198149,950,1,,,,
198150,951,1,,,,
198151,952,1,,,,
198156,953,1,,,,
198165,955,1,,,,
198166,956,1,,,,
198171,957,1,,,,
198174,958,1,,,,
198175,959,1,,,,
198177,960,1,,,,
198185,961,1,,,,
198197,962,1,,,,
198200,963,1,,,,
198201,964,1,,,,
198202,965,1,,,,
198203,966,1,,,,
198217,967,1,,,,
198218,968,1,,,,
198219,969,1,,,,
198228,970,1,,,,
198229,972,1,,,,
198230,973,1,,,,
198234,975,1,,,,
198237,976,1,,,,
198238,977,1,,,,
198248,978,1,,,,
198251,979,1,,,,
198259,980,1,,,,
198260,981,1,,,,
198266,982,1,,,,
198267,983,1,,,,
198269,984,1,,,,
198276,985,1,,,,
198277,986,1,,,,
198279,987,1,,,,
198282,988,1,,,,
198286,990,1,,,,
198290,991,1,,,,
198295,992,1,,,,
198296,993,1,,,,
198297,994,1,,,,
198300,995,1,,,,
198304,996,1,,,,
198306,998,1,,,,
198309,999,1,,,,
198314,1000,1,,,,
198317,1002,1,,,,
198320,1003,1,,,,
198322,1004,1,,,,
198326,1005,1,,,,
198328,1006,1,,,,
198330,1008,1,,,,
198341,1010,1,,,,
198345,1011,1,,,,
198348,1012,1,,,,
198352,1013,1,,,,
198353,1014,1,,,,
198356,1015,1,,,,
198357,1016,1,,,,
198361,1017,1,,,,
198368,1018,1,,,,
198372,1019,1,,,,
198379,1020,1,,,,
198380,1021,1,,,,
198386,1023,1,,,,
198391,1024,1,,,,
198394,1026,1,,,,
198397,1028,1,,,,
198398,1029,1,,,,
198404,1030,1,,,,
198409,1031,1,,,,
198410,1032,1,,,,
198413,1033,1,,,,
198420,1034,1,,,,
198421,1035,1,,,,
198422,1036,1,,,,
198423,1037,1,,,,
198429,1038,1,,,,
198432,1039,1,,,,
198437,1040,1,,,,
198441,1041,1,,,,
198444,1042,1,,,,
198445,1043,1,,,,
198446,1044,1,,,,
198452,1045,1,,,,
198455,1046,1,,,,
198456,1047,1,,,,
198459,1048,1,,,,
198462,1049,1,,,,
198463,1050,1,,,,
198467,1051,1,,,,
198470,1052,1,,,,
198473,1053,1,,,,
198477,1055,1,,,,
198480,1056,1,,,,
198481,1057,1,,,,
198482,1058,1,,,,
198488,1059,1,,,,
198492,1060,1,,,,
198495,1061,1,,,,
198501,1062,1,,,,
198512,1063,1,,,,
198513,1064,1,,,,
198519,1065,1,,,,
198523,1066,1,,,,
198528,1067,1,,,,
198537,1068,1,,,,
198540,1069,1,,,,
198542,1070,1,,,,
198544,1071,1,,,,
198546,1073,1,,,,
198554,1074,1,,,,
198559,1075,1,,,,
198564,1077,1,,,,
198566,1079,1,,,,
198574,1080,1,,,,
198579,1081,1,,,,
198580,1082,1,,,,
198588,1083,1,,,,
198609,1084,1,,,,
198612,1085,1,,,,
198614,1086,1,,,,
198620,1087,1,,,,
198621,1088,1,,,,
198625,1089,1,,,,
198626,1090,1,,,,
198627,1091,1,,,,
198629,1092,1,,,,
198633,1093,1,,,,
198641,1094,1,,,,
198642,1095,1,,,,
198645,1096,1,,,,
198648,1097,1,,,,
198652,1098,1,,,,
198659,1099,1,,,,
198660,1100,1,,,,
198664,1101,1,,,,
198666,1102,1,,,,
198675,1103,1,,,,
198680,1104,1,,,,
198687,1105,1,,,,
198690,1106,1,,,,
198695,1107,1,,,,
198696,1108,1,,,,
198702,1109,1,,,,
198703,1111,1,,,,
198704,1112,1,,,,
198707,1113,1,,,,
198710,1114,1,,,,
198716,1115,1,,,,
198717,1117,1,,,,
198724,1118,1,,,,
198725,1119,1,,,,
198746,1120,1,,,,
198747,1121,1,,,,
198750,1122,1,,,,
198751,1123,1,,,,
198752,1124,1,,,,
198760,1125,1,,,,
198761,1126,1,,,,
198763,1127,1,,,,
198771,1128,1,,,,
198773,1129,1,,,,
198775,1130,1,,,,
198778,1132,1,,,,
198785,1133,1,,,,
198795,1134,1,,,,
198796,1135,1,,,,
198797,1137,1,,,,
198798,1138,1,,,,
198801,1139,1,,,,
198802,1140,1,,,,
198803,1141,1,,,,
198804,1142,1,,,,
198805,1144,1,,,,
198807,1145,1,,,,
198813,1146,1,,,,
198815,1147,1,,,,
198820,1148,1,,,,
198822,1149,1,,,,
198825,1150,1,,,,
