POLYGON_RCRD_ID,INVENTORY_STANDARD,MEASUREMENT_YEAR,FIZ,BEC_ZONE,PCT_STOCKABLE,NON_PROD_DESC,YIELD_FACTOR 
197363,"V",1997,,"AT",,,
197364,"V",1997,,"AT",,,
197365,"V",1997,,"AT",,,
197366,"V",1997,,"AT",,,
197367,"V",1997,,"AT",,,
197368,"V",1997,,"AT",,,
197369,"V",1997,,"AT",,,
197370,"V",1997,,"AT",,,
197371,"V",1997,,"AT",,,
197372,"V",1997,,"AT",,,
197373,"V",1997,,"AT",,,
197374,"V",1997,,"AT",,,
197375,"V",1997,,"AT",,,
197376,"V",1997,,"AT",,,
197377,"V",1997,,"AT",,,
197378,"V",1997,,"AT",,,
197379,"V",1997,,"AT",,,
197380,"V",1997,,"AT",,,
197381,"V",1997,,"AT",,,
197382,"V",1997,,"AT",,,
197383,"V",1997,,"AT",,,
197384,"V",1997,,"AT",,,
197385,"V",1997,,"AT",,,
197386,"V",1997,,"AT",,,
197387,"V",1997,,"AT",,,
197388,"V",1997,,"AT",,,
197389,"V",1997,,"AT",,,
197390,"V",1997,,"AT",,,
197391,"V",1997,,"AT",,,
197392,"V",1997,,"AT",,,
197394,"V",1997,,"AT",,,
197395,"V",1997,,"AT",,,
197396,"V",1997,,"AT",,,
197397,"V",1997,,"AT",,,
197398,"V",1997,,"AT",,,
197399,"V",1997,,"AT",,,
197400,"V",1997,,"AT",,,
197401,"V",1997,,"AT",,,
197402,"V",1997,,"AT",,,
197403,"V",1997,,"AT",,,
197404,"V",1997,,"AT",,,
197405,"V",1997,,"AT",,,
197406,"V",1997,,"AT",,,
197407,"V",1997,,"AT",,,
197408,"V",1997,,"AT",,,
197409,"V",1997,,"AT",,,
197410,"V",1997,,"AT",,,
197411,"V",1997,,"AT",,,
197412,"V",1997,,"AT",,,
197413,"V",1997,,"AT",,,
197414,"V",1997,,"AT",,,
197415,"V",1997,,"AT",,,
197416,"V",1997,,"AT",,,
197417,"V",1997,,"AT",,,
197418,"V",1997,,"AT",,,
197419,"V",1997,,"AT",,,
197420,"V",1997,,"AT",,,
197421,"V",1997,,"AT",,,
197422,"V",1997,,"AT",,,
197423,"V",1997,,"AT",,,
197424,"V",1997,,"AT",,,
197425,"V",1997,,"AT",,,
197426,"V",1997,,"AT",,,
197427,"V",1997,,"AT",,,
197428,"V",1997,,"AT",,,
197429,"V",1997,,"AT",,,
197430,"V",1997,,"AT",,,
197431,"V",1997,,"AT",,,
197432,"V",1997,,"AT",,,
197433,"V",1997,,"AT",,,
197434,"V",1997,,"AT",,,
197435,"V",1997,,"AT",,,
197436,"V",1997,,"AT",,,
197437,"V",1997,,"AT",,,
197438,"V",1997,,"AT",,,
197439,"V",1997,,"AT",,,
197440,"V",1997,,"AT",,,
197441,"V",1997,,"AT",,,
197442,"V",1997,,"AT",,,
197443,"V",1997,,"AT",,,
197444,"V",1997,,"AT",,,
197446,"V",1997,,"AT",,,
197447,"V",1997,,"AT",,,
197448,"V",1997,,"AT",,,
197449,"V",1997,,"AT",,,
197450,"V",1997,,"AT",,,
197451,"V",1997,,"AT",,,
197452,"V",1997,,"AT",,,
197453,"V",1997,,"AT",,,
197454,"V",1997,,"AT",,,
197455,"V",1997,,"AT",,,
197456,"V",1997,,"AT",,,
197457,"V",1997,,"AT",,,
197458,"V",1997,,"AT",,,
197459,"V",1997,,"AT",,,
197460,"V",1997,,"AT",,,
197461,"V",1997,,"AT",,,
197462,"V",1997,,"AT",,,
197463,"V",1997,,"AT",,,
197464,"V",1997,,"AT",,,
197465,"V",1997,,"AT",,,
197466,"V",1997,,"AT",,,
197467,"V",1997,,"AT",,,
197468,"V",1997,,"AT",,,
197469,"V",1997,,"AT",,,
197470,"V",1997,,"AT",,,
197471,"V",1997,,"AT",,,
197472,"V",1997,,"AT",,,
197473,"V",1997,,"AT",,,
197474,"V",1997,,"AT",,,
197475,"V",1997,,"AT",,,
197477,"V",1997,,"AT",,,
197478,"V",1997,,"AT",,,
197479,"V",1997,,"AT",,,
197480,"V",1997,,"AT",,,
197481,"V",1997,,"AT",,,
197482,"V",1997,,"AT",,,
197483,"V",1997,,"AT",,,
197484,"V",1997,,"AT",,,
197485,"V",1997,,"AT",,,
197486,"V",1997,,"AT",,,
197487,"V",1997,,"AT",,,
197488,"V",1997,,"AT",,,
197489,"V",1997,,"AT",,,
197490,"V",1997,,"AT",,,
197491,"V",1997,,"AT",,,
197492,"V",1997,,"AT",,,
197493,"V",1997,,"AT",,,
197494,"V",1997,,"AT",,,
197495,"V",1997,,"AT",,,
197496,"V",1997,,"AT",,,
197497,"V",1997,,"AT",,,
197498,"V",1997,,"AT",,,
197499,"V",1997,,"AT",,,
197501,"V",1997,,"AT",,,
197502,"V",1997,,"AT",,,
197503,"V",1997,,"AT",,,
197504,"V",1997,,"AT",,,
197510,"F",1997,,"AT",,,
197513,"F",1987,,"AT",,,
197514,"F",1992,,"AT",,"NP",
197525,"F",1992,,"AT",,,
197531,"F",1987,,"AT",,"NP",
197532,"F",1987,,"AT",,"NP",
197542,"F",1992,,"AT",,,
197544,"F",2000,,"AT",,,
197552,"F",1996,,"AT",,,
197554,"F",1997,,"AT",,,
197566,"F",1987,,"AT",,"NP",
197567,"F",1987,,"AT",,,
197568,"F",1987,,"AT",,,
197576,"F",1987,,"AT",,,
197577,"F",1970,,"AT",,,
197582,"F",1987,,"AT",,,
197598,"F",1995,,"AT",,,
197601,"F",2000,,"AT",,,
197602,"F",1992,,"AT",,"NP",
197608,"F",1987,,"AT",,,
197609,"F",1970,,"AT",,,
197616,"F",1987,,"AT",,,
197632,"F",1987,,"AT",,,
197634,"F",1987,,"AT",,,
197639,"F",1987,,"AT",,,
197641,"I",2005,,"AT",,,
197646,"F",1992,,"AT",,,
197649,"F",1987,,"AT",,,
