POLYGON_RCRD_ID,OTHER_VEG_ID,LAND_COVER_CD,LAND_COVER_PCT 
197105,2,"HE",15.000
197105,3,"BR",0.000
197106,1,"SH",5.000
197106,2,"HE",10.000
197106,3,"BR",0.000
197107,1,"SH",10.000
197107,2,"HE",25.000
197107,3,"BR",0.000
197108,1,"SH",5.000
197108,2,"HE",10.000
197108,3,"BR",0.000
197109,1,"SH",5.000
197109,2,"HE",10.000
197109,3,"BR",0.000
197110,1,"SH",5.000
197110,2,"HE",5.000
197110,3,"BR",0.000
197111,1,"SH",5.000
197111,2,"HE",40.000
197111,3,"BR",0.000
197112,2,"HE",10.000
197112,3,"BR",0.000
197113,1,"SH",5.000
197113,2,"HE",20.000
197113,3,"BR",0.000
197114,1,"SH",10.000
197114,2,"HE",40.000
197114,3,"BR",5.000
197115,1,"SH",5.000
197115,2,"HE",20.000
197115,3,"BR",0.000
197116,2,"HE",10.000
197116,3,"BR",0.000
197117,1,"SH",5.000
197117,2,"HE",10.000
197117,3,"BR",0.000
197118,1,"SH",10.000
197118,2,"HE",25.000
197118,3,"BR",0.000
197119,1,"SH",15.000
197119,2,"HE",50.000
197119,3,"BR",10.000
197120,1,"SH",15.000
197120,2,"HE",60.000
197120,3,"BR",5.000
197121,2,"HE",10.000
197121,3,"BR",0.000
197122,1,"SH",10.000
197122,2,"HE",25.000
197122,3,"BR",5.000
197123,1,"SH",10.000
197123,2,"HE",30.000
197123,3,"BR",0.000
197124,1,"SH",5.000
197124,2,"HE",30.000
197124,3,"BR",0.000
197125,2,"HE",5.000
197125,3,"BR",0.000
197126,1,"SH",5.000
197126,2,"HE",25.000
197126,3,"BR",0.000
197127,1,"SH",10.000
197127,2,"HE",20.000
197127,3,"BR",0.000
197128,1,"SH",10.000
197128,2,"HE",25.000
197128,3,"BR",5.000
197129,1,"SH",15.000
197129,2,"HE",50.000
197129,3,"BR",10.000
197130,1,"SH",5.000
197130,2,"HE",15.000
197130,3,"BR",15.000
197131,2,"HE",5.000
197131,3,"BR",0.000
197132,1,"SH",5.000
197132,2,"HE",15.000
197132,3,"BR",0.000
197133,1,"SH",5.000
197133,2,"HE",10.000
197133,3,"BR",0.000
197134,1,"SH",5.000
197134,2,"HE",30.000
197134,3,"BR",0.000
197136,1,"SH",5.000
197136,2,"HE",20.000
197136,3,"BR",5.000
197137,2,"HE",10.000
197137,3,"BR",0.000
197138,1,"SH",5.000
197138,2,"HE",25.000
197138,3,"BR",0.000
197139,1,"SH",5.000
197139,2,"HE",35.000
197139,3,"BR",0.000
197140,1,"SH",10.000
197140,2,"HE",50.000
197140,3,"BR",5.000
197141,1,"SH",5.000
197141,2,"HE",45.000
197141,3,"BR",0.000
